,0
love beat,22.57454550963663
good vibes,21.840656088256253
vibes love,17.12348467448025
giving vibes,13.372461772807917
love vibes,11.140583702364317
powerful voice,10.562630401880076
linkin park,8.820843825934276
first time,8.666179000160101
love melody,8.551035338400263
new romantics,8.520785105070761
