,0
ive heard,16.763932225159518
one worst,13.000775761795605
beat fire,10.3475746641647
worst songs,9.628781869938159
worst video,8.2845323358269
beat crazy,7.56323425103089
worst part,6.47380960334327
annoying af,6.253432800026921
sin autotune,5.990502921653794
beat drop,5.2878844379243315
